"","ID","round","moved","y"
"1",1,0,0,1
"2",1,1,0,1
"3",1,2,0,1
"4",1,3,0,1
"5",2,0,0,1
"6",2,1,0,1
"7",2,2,0,1
"8",2,3,0,1
"9",3,0,1,1
"10",3,1,1,0
"11",3,2,1,0
"12",3,3,1,0
"13",5,0,0,1
"14",5,1,0,1
"15",5,2,0,1
"16",5,3,0,1
"17",6,0,0,1
"18",6,1,0,1
"19",6,2,0,0
"20",6,3,0,1
"21",7,0,1,0
"22",7,1,0,1
"23",7,2,1,0
"24",7,3,1,1
"25",10,0,0,1
"26",10,1,0,1
"27",10,2,0,1
"28",10,3,0,1
"29",11,0,0,1
"30",11,1,0,1
"31",11,2,0,1
"32",11,3,0,1
"33",12,0,0,1
"34",12,1,0,1
"35",12,2,0,1
"36",12,3,0,1
"37",13,0,0,1
"38",13,1,0,1
"39",13,2,0,1
"40",13,3,0,1
"41",14,0,0,1
"42",14,1,0,1
"43",14,2,0,1
"44",14,3,0,1
"45",15,0,0,1
"46",15,1,0,0
"47",15,2,0,0
"48",15,3,0,1
"49",16,0,0,1
"50",16,1,0,1
"51",16,2,0,1
"52",16,3,0,1
"53",17,0,0,0
"54",17,1,0,0
"55",17,2,0,0
"56",17,3,0,0
"57",18,0,0,1
"58",18,1,0,1
"59",18,2,0,1
"60",18,3,0,1
"61",19,0,0,1
"62",19,1,0,1
"63",19,2,0,0
"64",19,3,0,1
"65",20,0,0,0
"66",20,1,0,0
"67",20,2,0,0
"68",20,3,0,0
"69",21,0,1,0
"70",21,1,0,0
"71",21,2,1,0
"72",21,3,1,0
"73",22,0,0,1
"74",22,1,0,1
"75",22,2,0,1
"76",22,3,0,1
"77",23,0,0,1
"78",23,1,0,1
"79",23,2,0,1
"80",23,3,0,1
"81",24,0,0,1
"82",24,1,0,1
"83",24,2,0,1
"84",24,3,0,1
"85",26,0,0,1
"86",26,1,0,1
"87",26,2,0,1
"88",26,3,0,1
"89",27,0,0,1
"90",27,1,0,1
"91",27,2,0,1
"92",27,3,0,1
"93",28,0,0,1
"94",28,1,0,1
"95",28,2,0,1
"96",28,3,0,1
"97",29,0,0,1
"98",29,1,0,1
"99",29,2,0,1
"100",29,3,0,0
"101",30,0,0,1
"102",30,1,0,1
"103",30,2,0,1
"104",30,3,0,1
"105",32,0,0,1
"106",32,1,0,1
"107",32,2,0,1
"108",32,3,0,1
"109",33,0,1,0
"110",33,1,1,1
"111",33,2,1,1
"112",33,3,1,1
"113",35,0,0,1
"114",35,1,0,1
"115",35,2,0,1
"116",35,3,0,1
"117",36,0,0,1
"118",36,1,0,1
"119",36,2,0,1
"120",36,3,0,1
"121",38,0,0,1
"122",38,1,0,1
"123",38,2,1,1
"124",38,3,1,0
"125",39,0,0,1
"126",39,1,0,1
"127",39,2,1,0
"128",39,3,1,0
"129",40,0,1,1
"130",40,1,0,1
"131",40,2,1,1
"132",40,3,1,0
"133",41,0,0,1
"134",41,1,0,1
"135",41,2,0,1
"136",41,3,0,1
"137",42,0,1,0
"138",42,1,0,1
"139",42,2,0,1
"140",42,3,0,1
"141",43,0,0,1
"142",43,1,0,1
"143",43,2,0,1
"144",43,3,0,1
"145",44,0,1,1
"146",44,1,1,0
"147",44,2,1,0
"148",44,3,1,1
"149",45,0,0,1
"150",45,1,0,1
"151",45,2,0,1
"152",45,3,0,1
"153",46,0,1,1
"154",46,1,1,1
"155",46,2,1,0
"156",46,3,1,1
"157",47,0,0,1
"158",47,1,0,1
"159",47,2,0,1
"160",47,3,0,1
"161",48,0,0,1
"162",48,1,0,1
"163",48,2,0,1
"164",48,3,0,1
"165",49,0,0,1
"166",49,1,0,1
"167",49,2,0,1
"168",49,3,0,1
"169",50,0,0,1
"170",50,1,0,1
"171",50,2,0,1
"172",50,3,0,1
"173",51,0,0,1
"174",51,1,0,1
"175",51,2,0,1
"176",51,3,0,1
"177",52,0,0,1
"178",52,1,0,1
"179",52,2,0,1
"180",52,3,0,1
"181",53,0,0,1
"182",53,1,0,1
"183",53,2,0,1
"184",53,3,0,1
"185",54,0,0,1
"186",54,1,0,1
"187",54,2,0,1
"188",54,3,0,1
"189",55,0,1,1
"190",55,1,1,1
"191",55,2,1,0
"192",55,3,1,1
"193",56,0,0,1
"194",56,1,0,1
"195",56,2,0,1
"196",56,3,0,1
"197",57,0,0,1
"198",57,1,0,1
"199",57,2,0,1
"200",57,3,0,1
"201",58,0,0,1
"202",58,1,0,1
"203",58,2,0,1
"204",58,3,0,1
"205",59,0,0,1
"206",59,1,0,1
"207",59,2,0,1
"208",59,3,0,1
"209",60,0,0,1
"210",60,1,0,1
"211",60,2,0,0
"212",60,3,0,1
"213",62,0,1,1
"214",62,1,1,1
"215",62,2,1,1
"216",62,3,1,0
"217",65,0,1,1
"218",65,1,1,0
"219",65,2,1,0
"220",65,3,1,0
"221",66,0,1,1
"222",66,1,1,1
"223",66,2,1,1
"224",66,3,1,1
"225",67,0,1,1
"226",67,1,1,0
"227",67,2,1,1
"228",67,3,1,1
"229",68,0,1,1
"230",68,1,1,0
"231",68,2,1,0
"232",68,3,1,0
"233",69,0,1,0
"234",69,1,1,0
"235",69,2,1,0
"236",69,3,1,0
"237",70,0,1,1
"238",70,1,1,0
"239",70,2,1,0
"240",70,3,0,0
"241",71,0,1,1
"242",71,1,1,0
"243",71,2,1,0
"244",71,3,1,0
