"STATE","time","HR","id","UR"
"Alabama",1996,10.4,1,5.2
"Alabama",1997,9.9,1,5
"Alabama",1998,8.1,1,4.4
"Alabama",1999,7.9,1,4.7
"Alabama",2000,7.4,1,4.6
"Alabama",2001,8.5,1,5.1
"Alabama",2002,6.8,1,5.9
"Alabama",2003,6.6,1,6
"Alabama",2004,5.6,1,5.7
"Alabama",2005,8.2,1,4.5
"Alabama",2006,8.3,1,4
"Alabama",2007,8.9,1,4
"Alabama",2008,7.6,1,5.7
"Alabama",2009,6.8,1,11
"Alabama",2010,5.7,1,10.5
"Alabama",2011,6.2,1,9.6
"Alabama",2012,7.1,1,8
"Alabama",2013,7.2,1,7.2
"Alabama",2014,5.7,1,6.8
"Alabama",2015,7.2,1,6.1
"Alabama",2016,8.4,1,5.9
"Alabama",2017,8.3,1,4.4
"Alaska",1996,7.4,2,7.6
"Alaska",1997,8.9,2,7.1
"Alaska",1998,6.7,2,6.3
"Alaska",1999,8.6,2,6.5
"Alaska",2000,4.3,2,6.4
"Alaska",2001,6.1,2,6.4
"Alaska",2002,5.1,2,7.3
"Alaska",2003,6,2,7.8
"Alaska",2004,5.6,2,7.5
"Alaska",2005,4.8,2,6.9
"Alaska",2006,5.4,2,6.6
"Alaska",2007,6.4,2,6.3
"Alaska",2008,4.1,2,6.7
"Alaska",2009,3.1,2,7.7
"Alaska",2010,4.3,2,7.9
"Alaska",2011,4.1,2,7.6
"Alaska",2012,4.1,2,7.1
"Alaska",2013,4.6,2,6.9
"Alaska",2014,5.6,2,6.9
"Alaska",2015,8,2,6.5
"Alaska",2016,7,2,6.9
"Alaska",2017,8.4,2,7.2
"Arizona",1996,8.5,3,5.6
"Arizona",1997,8.2,3,4.6
"Arizona",1998,8.1,3,4.3
"Arizona",1999,8,3,4.4
"Arizona",2000,7,3,4
"Arizona",2001,7.5,3,4.8
"Arizona",2002,7.1,3,6.1
"Arizona",2003,7.9,3,5.7
"Arizona",2004,7.2,3,5
"Arizona",2005,7.5,3,4.7
"Arizona",2006,7.5,3,4.2
"Arizona",2007,7.4,3,3.9
"Arizona",2008,6.3,3,6.2
"Arizona",2009,5.8,3,9.9
"Arizona",2010,6.4,3,10.4
"Arizona",2011,6.1,3,9.5
"Arizona",2012,5.5,3,8.3
"Arizona",2013,5.4,3,7.7
"Arizona",2014,4.7,3,6.8
"Arizona",2015,4.5,3,6.1
"Arizona",2016,5.5,3,5.4
"Arizona",2017,5.9,3,4.9
"Arkansas",1996,8.7,4,5.3
"Arkansas",1997,9.9,4,5.2
"Arkansas",1998,8,4,5.2
"Arkansas",1999,5.6,4,4.6
"Arkansas",2000,6.3,4,4.3
"Arkansas",2001,5.5,4,5
"Arkansas",2002,5.2,4,5.5
"Arkansas",2003,6.4,4,5.9
"Arkansas",2004,6.4,4,5.7
"Arkansas",2005,6.7,4,5.2
"Arkansas",2006,7.3,4,5.2
"Arkansas",2007,6.7,4,5.3
"Arkansas",2008,5.7,4,5.5
"Arkansas",2009,6.2,4,7.8
"Arkansas",2010,4.6,4,8.2
"Arkansas",2011,5.4,4,8.3
"Arkansas",2012,5.9,4,7.6
"Arkansas",2013,5.4,4,7.3
"Arkansas",2014,5.6,4,6.1
"Arkansas",2015,6.3,4,5.2
"Arkansas",2016,7.2,4,3.9
"Arkansas",2017,8.6,4,3.7
"California",1996,9.1,5,7.3
"California",1997,8,5,6.4
"California",1998,6.6,5,5.9
"California",1999,6,5,5.2
"California",2000,6.1,5,4.9
"California",2001,6.4,5,5.4
"California",2002,6.8,5,6.7
"California",2003,6.8,5,6.8
"California",2004,6.7,5,6.2
"California",2005,6.9,5,5.4
"California",2006,6.8,5,4.9
"California",2007,6.2,5,5.4
"California",2008,5.8,5,7.3
"California",2009,5.3,5,11.2
"California",2010,4.8,5,12.2
"California",2011,4.8,5,11.7
"California",2012,5,5,10.4
"California",2013,4.6,5,8.9
"California",2014,4.4,5,7.5
"California",2015,4.8,5,6.2
"California",2016,4.9,5,5.5
"California",2017,4.6,5,4.8
"Colorado",1996,4.7,6,4.2
"Colorado",1997,4,6,3.5
"Colorado",1998,4.6,6,3.6
"Colorado",1999,4.6,6,3.1
"Colorado",2000,3.1,6,2.8
"Colorado",2001,3.6,6,3.8
"Colorado",2002,4,6,5.5
"Colorado",2003,3.9,6,6
"Colorado",2004,4.4,6,5.5
"Colorado",2005,3.7,6,5
"Colorado",2006,3.3,6,4.3
"Colorado",2007,3.1,6,3.7
"Colorado",2008,3.2,6,4.8
"Colorado",2009,3.2,6,7.3
"Colorado",2010,2.6,6,8.7
"Colorado",2011,3,6,8.4
"Colorado",2012,3.1,6,7.9
"Colorado",2013,3.4,6,6.8
"Colorado",2014,2.8,6,5
"Colorado",2015,3.2,6,3.9
"Colorado",2016,3.4,6,3.3
"Colorado",2017,3.9,6,2.8
"Connecticut",1996,4.8,7,5.5
"Connecticut",1997,3.8,7,5
"Connecticut",1998,4.1,7,3.4
"Connecticut",1999,3.3,7,2.9
"Connecticut",2000,2.9,7,2.4
"Connecticut",2001,3.1,7,3.1
"Connecticut",2002,2.3,7,4.3
"Connecticut",2003,3,7,5.4
"Connecticut",2004,2.6,7,5
"Connecticut",2005,2.9,7,4.9
"Connecticut",2006,3.1,7,4.3
"Connecticut",2007,3,7,4.5
"Connecticut",2008,3.5,7,5.7
"Connecticut",2009,3,7,7.9
"Connecticut",2010,3.7,7,9.1
"Connecticut",2011,3.6,7,8.8
"Connecticut",2012,4.1,7,8.3
"Connecticut",2013,2.4,7,7.8
"Connecticut",2014,2.4,7,6.6
"Connecticut",2015,3.2,7,5.6
"Connecticut",2016,2.2,7,5.1
"Connecticut",2017,2.8,7,4.7
"Delaware",1996,4.3,8,5.1
"Delaware",1997,2.5,8,4
"Delaware",1998,2.8,8,3.7
"Delaware",1999,3.2,8,3.4
"Delaware",2000,3.2,8,3.7
"Delaware",2001,2.9,8,3.5
"Delaware",2002,3.2,8,4
"Delaware",2003,2.9,8,4.3
"Delaware",2004,2,8,4
"Delaware",2005,4.4,8,4.1
"Delaware",2006,4.9,8,3.6
"Delaware",2007,4.3,8,3.4
"Delaware",2008,6.5,8,4.9
"Delaware",2009,4.6,8,8.3
"Delaware",2010,5.7,8,8.4
"Delaware",2011,5.3,8,7.5
"Delaware",2012,6.1,8,7.2
"Delaware",2013,4.2,8,6.7
"Delaware",2014,5.8,8,5.7
"Delaware",2015,6.6,8,4.9
"Delaware",2016,6.1,8,4.5
"Delaware",2017,5.6,8,4.6
"Florida",1996,7.5,9,5.2
"Florida",1997,6.9,9,4.8
"Florida",1998,6.5,9,4.3
"Florida",1999,5.7,9,3.9
"Florida",2000,5.6,9,3.7
"Florida",2001,5.3,9,4.7
"Florida",2002,5.5,9,5.6
"Florida",2003,5.4,9,5.2
"Florida",2004,5.4,9,4.6
"Florida",2005,5,9,3.7
"Florida",2006,6.2,9,3.2
"Florida",2007,6.6,9,4
"Florida",2008,6.4,9,6.3
"Florida",2009,5.5,9,10.4
"Florida",2010,5.2,9,11.1
"Florida",2011,5.2,9,10
"Florida",2012,5.2,9,8.5
"Florida",2013,5,9,7.3
"Florida",2014,5.8,9,6.3
"Florida",2015,5.1,9,5.4
"Florida",2016,5.4,9,4.8
"Florida",2017,5,9,4.2
"Georgia",1996,9.5,10,4.7
"Georgia",1997,7.5,10,4.6
"Georgia",1998,8.1,10,4.3
"Georgia",1999,7.5,10,3.9
"Georgia",2000,8,10,3.6
"Georgia",2001,7.1,10,4
"Georgia",2002,7.1,10,5
"Georgia",2003,7.6,10,4.8
"Georgia",2004,6.9,10,4.8
"Georgia",2005,6.2,10,5.3
"Georgia",2006,6.4,10,4.7
"Georgia",2007,7.5,10,4.5
"Georgia",2008,6.6,10,6.2
"Georgia",2009,5.8,10,9.9
"Georgia",2010,5.7,10,10.5
"Georgia",2011,5.6,10,10.2
"Georgia",2012,5.9,10,9.2
"Georgia",2013,5.6,10,8.2
"Georgia",2014,5.7,10,7.1
"Georgia",2015,6.1,10,5.9
"Georgia",2016,6.6,10,5.4
"Georgia",2017,6.7,10,4.7
"Hawaii",1996,3.4,11,6.3
"Hawaii",1997,4,11,6.2
"Hawaii",1998,2,11,6.1
"Hawaii",1999,3.7,11,5.4
"Hawaii",2000,2.9,11,4.2
"Hawaii",2001,2.6,11,4.5
"Hawaii",2002,1.9,11,4.2
"Hawaii",2003,1.7,11,4.1
"Hawaii",2004,2.6,11,3.4
"Hawaii",2005,1.9,11,2.9
"Hawaii",2006,1.6,11,2.6
"Hawaii",2007,1.7,11,2.8
"Hawaii",2008,1.9,11,4.3
"Hawaii",2009,1.8,11,7.2
"Hawaii",2010,1.8,11,6.9
"Hawaii",2011,1.5,11,6.8
"Hawaii",2012,1.5,11,6
"Hawaii",2013,1.5,11,4.9
"Hawaii",2014,1.8,11,4.4
"Hawaii",2015,2,11,3.6
