Year,Fatal,Serious,KSI,Slight,Total,
1989,33,752,785,"4,379","5,164",
1990,19,625,644,"3,895","4,539",
1991,17,633,650,"3,693","4,343",
1992,18,546,564,"3,722","4,286",
1993,18,493,511,"3,695","4,206",
1994,15,488,503,"3,924","4,427",
1995,15,527,542,"3,997","4,539",
1996,20,577,597,"3,753","4,350",
1997,12,566,578,"3,852","4,430",
1998,12,602,614,"3,702","4,316",
1999,10,482,492,"3,682","4,174",
2000,14,408,422,"3,084","3,506",
2001,21,444,465,"2,857","3,322",
2002,20,394,414,"2,648","3,062",
2003,19,421,440,"2,616","3,056",
2004,8,332,340,"2,620","2,960",
2005,21,351,372,"2,523","2,895",
2006,19,373,392,"2,566","2,958",
2007,15,446,461,"2,509","2,970",
2008,15,430,445,"2,757","3,202",
2009,13,420,433,"3,236","3,669",
2010,10,457,467,"3,540","4,007",
2011,16,555,571,"3,926","4,497",
2012,14,657,671,"3,942","4,613",
2013,14,475,489,"4,134","4,623",
2014,13,419,432,"4,714","5,146",
